444629	孙红雷	1385699
231290	李菲儿	1375097
7697615	倪妮（中国内地女演员）	1373561
111068	贾青	1369271
74157	黄圣依	1364612
444667	白百何（中国内地女演员）	1362319
76101	林青霞（中国台湾女演员）	1359904
377329	保罗·沃克（美国男演员）	1359827
3221329	靳东（中国内地影视演员）	1353538
55110775	SNH48	1352178
643604	车晓	1351232
5640545	娄艺潇（明星）	1346581
59004967	欧阳小宝	1345120
73889	舒畅（中国内地女演员）	1343100
62446	罗志祥（台湾艺人）	1340083
128764682	sunshine组合	1337891
1773187	王丽坤	1336890
7811699	黄灿灿（武大校花）	1328446
198859	李小萌（中国大陆女演员）	1324289
7625114	张子枫	1323584
75403605	李宏毅	1313513
64873192	马可（中国内地男演员）	1310782
93481	rain（韩国艺人）	1286566
8322927	李荣浩	1285914
95768	韩雪（中国内地女演员）	1278309
64902003	吴倩（中国新生代女演员）	1272709
225570	熊黛林	1259601
95746	贾静雯	1259527
76093	邓丽君	1253277
9841837	赵奕欢	1248344
3702264	李金铭（中国内地女演员）	1247275
74669	吴尊	1245151
80400	吴奇隆（影视）	1244484
7781852	赵韩樱子	1242521
95045	撒贝宁	1240086
178650	杨钰莹	1238442
123538	黄渤	1235236
53271	张靓颖	1234423
118392	赵雅芝	1232327
60815784	陈学冬	1223040
43686	谢霆锋	1222958
123879	伊能静（伊能静）	1222874
98060	邱淑贞	1217752
51713	福原爱	1217410
95776	马苏	1214632
147217	刘雯（中国大陆模特）	1212242
60957326	华晨宇（歌手）	1204541
75486776	张碧晨	1199421
704049	iu（韩国艺人李知恩）	1196429
71290154	葛天	1194438
75732135	盛一伦	1192904
67269038	姚笛	1192521
147777	陈若仪	1190474
511339	颖儿（明星）	1189421
95756	朱丽倩	1188323
46132001	柯震东	1187109
658548	田馥甄（人物）	1183426
164782	许晴（中国内地女演员）	1175443
103898	陈思诚（青年导演、演员、编剧）	1173925
79585	林依晨（中国台湾女演员）	1171441
147877	高云翔（著名影视演员、实力偶像）	1169391
295505	汪峰（中国内地歌手）	1165021
5165613	李亚男（香港无线电视经理人合约艺员）	1164570
59987874	金素贤（韩剧）	1150130
256701	宋佳（黑龙江籍影视演员）	1148664
668644	汤芳（模特）	1148558
11316131	裴秀智	1148354
98244	应采儿	1147395
157258	江一燕（明星）	1143957
